Model,Design_Cell,Method_Variant,Metric,Datasets_Evaluated,Mean_mu,LCL_mu_minus_2sig,UCL_mu_plus_2sig,Pct_In_Limits,Pct_Out_Limits,"Control_Limits_[LCL, UCL]"
ModelA_Perfect,"p=15, N=75",Beta_eta_400,Kaiser IFS,135,0.9933,0.9683,1.0183,93.33,6.67,"[0.9683, 1.0183]"
ModelB_MinorMisspec,"p=6, N=30",PAF,Hoffmann Complexity,162,1.2397,1.0262,1.4533,93.83,6.17,"[1.0262, 1.4533]"
ModelB_MinorMisspec,"p=6, N=30",PAF,Kaiser IFS,162,0.7922,0.613,0.9715,94.44,5.56,"[0.6130, 0.9715]"
ModelB_MinorMisspec,"p=6, N=30",Beta_eta_25,Hoffmann Complexity,162,1.1481,0.9205,1.3757,96.3,3.7,"[0.9205, 1.3757]"
ModelB_MinorMisspec,"p=6, N=30",Beta_eta_25,Kaiser IFS,162,0.879,0.687,1.071,95.68,4.32,"[0.6870, 1.0710]"
ModelB_MinorMisspec,"p=6, N=30",Beta_eta_50,Hoffmann Complexity,162,1.0885,0.8864,1.2905,93.21,6.79,"[0.8864, 1.2905]"
ModelB_MinorMisspec,"p=6, N=30",Beta_eta_50,Kaiser IFS,162,0.9272,0.7601,1.0942,93.83,6.17,"[0.7601, 1.0942]"
ModelB_MinorMisspec,"p=6, N=30",Beta_eta_100,Hoffmann Complexity,162,1.027,0.9177,1.1364,91.36,8.64,"[0.9177, 1.1364]"
ModelB_MinorMisspec,"p=6, N=30",Beta_eta_100,Kaiser IFS,162,0.9775,0.8862,1.0687,92.59,7.41,"[0.8862, 1.0687]"
ModelB_MinorMisspec,"p=6, N=30",Beta_eta_200,Hoffmann Complexity,162,1.0096,0.9453,1.074,94.44,5.56,"[0.9453, 1.0740]"
ModelB_MinorMisspec,"p=6, N=30",Beta_eta_200,Kaiser IFS,162,0.9915,0.9344,1.0486,94.44,5.56,"[0.9344, 1.0486]"
ModelB_MinorMisspec,"p=6, N=30",Beta_eta_400,Hoffmann Complexity,162,1.0066,0.9464,1.0667,95.68,4.32,"[0.9464, 1.0667]"
ModelB_MinorMisspec,"p=6, N=30",Beta_eta_400,Kaiser IFS,162,0.9946,0.9439,1.0452,95.68,4.32,"[0.9439, 1.0452]"
ModelB_MinorMisspec,"p=10, N=50",PAF,Hoffmann Complexity,155,1.2325,0.9868,1.4783,92.9,7.1,"[0.9868, 1.4783]"
ModelB_MinorMisspec,"p=10, N=50",PAF,Kaiser IFS,155,0.8219,0.7016,0.9423,94.84,5.16,"[0.7016, 0.9423]"
ModelB_MinorMisspec,"p=10, N=50",Beta_eta_25,Hoffmann Complexity,155,1.2319,0.9632,1.5007,97.42,2.58,"[0.9632, 1.5007]"
ModelB_MinorMisspec,"p=10, N=50",Beta_eta_25,Kaiser IFS,155,0.8536,0.6926,1.0147,95.48,4.52,"[0.6926, 1.0147]"
ModelB_MinorMisspec,"p=10, N=50",Beta_eta_50,Hoffmann Complexity,155,1.1658,0.9288,1.4029,96.77,3.23,"[0.9288, 1.4029]"
ModelB_MinorMisspec,"p=10, N=50",Beta_eta_50,Kaiser IFS,155,0.8938,0.7333,1.0543,94.19,5.81,"[0.7333, 1.0543]"
ModelB_MinorMisspec,"p=10, N=50",Beta_eta_100,Hoffmann Complexity,155,1.0757,0.8954,1.2561,94.19,5.81,"[0.8954, 1.2561]"
ModelB_MinorMisspec,"p=10, N=50",Beta_eta_100,Kaiser IFS,155,0.951,0.819,1.083,95.48,4.52,"[0.8190, 1.0830]"
ModelB_MinorMisspec,"p=10, N=50",Beta_eta_200,Hoffmann Complexity,155,1.0218,0.9341,1.1095,94.84,5.16,"[0.9341, 1.1095]"
ModelB_MinorMisspec,"p=10, N=50",Beta_eta_200,Kaiser IFS,155,0.9875,0.9392,1.0359,92.26,7.74,"[0.9392, 1.0359]"
ModelB_MinorMisspec,"p=10, N=50",Beta_eta_400,Hoffmann Complexity,155,1.0055,0.9687,1.0424,94.84,5.16,"[0.9687, 1.0424]"
ModelB_MinorMisspec,"p=10, N=50",Beta_eta_400,Kaiser IFS,155,0.9968,0.9747,1.0188,94.84,5.16,"[0.9747, 1.0188]"
ModelB_MinorMisspec,"p=15, N=75",PAF,Hoffmann Complexity,146,1.2227,0.9597,1.4857,95.21,4.79,"[0.9597, 1.4857]"
ModelB_MinorMisspec,"p=15, N=75",PAF,Kaiser IFS,146,0.8418,0.7351,0.9484,95.89,4.11,"[0.7351, 0.9484]"
ModelB_MinorMisspec,"p=15, N=75",Beta_eta_25,Hoffmann Complexity,146,1.1304,0.9123,1.3486,95.21,4.79,"[0.9123, 1.3486]"
ModelB_MinorMisspec,"p=15, N=75",Beta_eta_25,Kaiser IFS,146,0.9297,0.8006,1.0588,94.52,5.48,"[0.8006, 1.0588]"
ModelB_MinorMisspec,"p=15, N=75",Beta_eta_50,Hoffmann Complexity,146,1.1282,0.908,1.3483,95.21,4.79,"[0.9080, 1.3483]"
ModelB_MinorMisspec,"p=15, N=75",Beta_eta_50,Kaiser IFS,146,0.9314,0.8011,1.0616,94.52,5.48,"[0.8011, 1.0616]"
ModelB_MinorMisspec,"p=15, N=75",Beta_eta_100,Hoffmann Complexity,146,1.1173,0.9183,1.3164,95.21,4.79,"[0.9183, 1.3164]"
ModelB_MinorMisspec,"p=15, N=75",Beta_eta_100,Kaiser IFS,146,0.9375,0.8198,1.0551,94.52,5.48,"[0.8198, 1.0551]"
ModelB_MinorMisspec,"p=15, N=75",Beta_eta_200,Hoffmann Complexity,146,1.0642,0.924,1.2044,95.89,4.11,"[0.9240, 1.2044]"
ModelB_MinorMisspec,"p=15, N=75",Beta_eta_200,Kaiser IFS,146,0.966,0.8938,1.0382,95.89,4.11,"[0.8938, 1.0382]"
ModelB_MinorMisspec,"p=15, N=75",Beta_eta_400,Hoffmann Complexity,146,1.0197,0.9489,1.0905,96.58,3.42,"[0.9489, 1.0905]"
ModelB_MinorMisspec,"p=15, N=75",Beta_eta_400,Kaiser IFS,146,0.9894,0.9518,1.0271,96.58,3.42,"[0.9518, 1.0271]"
ModelC_Complex,"p=6, N=30",PAF,Hoffmann Complexity,198,1.2684,1.0318,1.505,90.91,9.09,"[1.0318, 1.5050]"
ModelC_Complex,"p=6, N=30",PAF,Kaiser IFS,198,0.7639,0.5551,0.9726,90.91,9.09,"[0.5551, 0.9726]"
ModelC_Complex,"p=6, N=30",Beta_eta_25,Hoffmann Complexity,198,1.1375,0.9042,1.3708,96.46,3.54,"[0.9042, 1.3708]"
ModelC_Complex,"p=6, N=30",Beta_eta_25,Kaiser IFS,198,0.8934,0.7126,1.0743,96.46,3.54,"[0.7126, 1.0743]"
ModelC_Complex,"p=6, N=30",Beta_eta_50,Hoffmann Complexity,198,1.0663,0.908,1.2245,96.46,3.54,"[0.9080, 1.2245]"
ModelC_Complex,"p=6, N=30",Beta_eta_50,Kaiser IFS,198,0.9459,0.8131,1.0787,96.46,3.54,"[0.8131, 1.0787]"
ModelC_Complex,"p=6, N=30",Beta_eta_100,Hoffmann Complexity,198,1.0353,0.9066,1.164,93.43,6.57,"[0.9066, 1.1640]"
ModelC_Complex,"p=6, N=30",Beta_eta_100,Kaiser IFS,198,0.9717,0.8675,1.0759,93.43,6.57,"[0.8675, 1.0759]"
